Gene stable ID	Human gene stable ID	Human homology type
ENSPANG00000018225	ENSG00000159516	ortholog_one2one
ENSPANG00000026332		
ENSPANG00000044063		
ENSPANG00000009230	ENSG00000055070	ortholog_one2one
ENSPANG00000008046	ENSG00000142798	ortholog_one2one
ENSPANG00000007494		
ENSPANG00000051242		
ENSPANG00000011896	ENSG00000163581	ortholog_one2one
ENSPANG00000004555		
ENSPANG00000009564	ENSG00000121446	ortholog_one2one
ENSPANG00000040062		
ENSPANG00000033372		
ENSPANG00000026779		
ENSPANG00000005205	ENSG00000130775	ortholog_one2one
ENSPANG00000044310	ENSG00000203784	ortholog_one2one
ENSPANG00000002857		
ENSPANG00000017986	ENSG00000134248	ortholog_one2one
ENSPANG00000046602		
ENSPANG00000042747		
ENSPANG00000008762	ENSG00000284443	ortholog_one2one
ENSPANG00000040069		
ENSPANG00000015601		
ENSPANG00000044807		
ENSPANG00000019095	ENSG00000142698	ortholog_one2one
ENSPANG00000038674		
ENSPANG00000006466	ENSG00000203783	ortholog_one2one
ENSPANG00000014759	ENSG00000283899	ortholog_one2one
ENSPANG00000026520		
ENSPANG00000042083		
ENSPANG00000042894		
ENSPANG00000008504		
ENSPANG00000003066	ENSG00000283844	ortholog_one2one
ENSPANG00000009824		
ENSPANG00000002560		
ENSPANG00000014762		
ENSPANG00000040586		
ENSPANG00000014640	ENSG00000187144	ortholog_one2one
ENSPANG00000027005		
ENSPANG00000047995		
ENSPANG00000013042		
ENSPANG00000004556		
ENSPANG00000013977		
ENSPANG00000045533		
ENSPANG00000050621		
ENSPANG00000001808		
ENSPANG00000047469		
ENSPANG00000042257		
ENSPANG00000004649	ENSG00000160767	ortholog_one2one
ENSPANG00000012716		
ENSPANG00000012155		
ENSPANG00000050628		
ENSPANG00000030664		
ENSPANG00000047730		
ENSPANG00000041768	ENSG00000196805	ortholog_one2one
ENSPANG00000046711		
ENSPANG00000009484	ENSG00000090621	ortholog_one2one
ENSPANG00000025418		
ENSPANG00000002476		
ENSPANG00000047776		
ENSPANG00000006717	ENSG00000207962	ortholog_one2one
ENSPANG00000042880		
ENSPANG00000040378		
ENSPANG00000046305		
ENSPANG00000018892		
ENSPANG00000000208	ENSG00000207606	ortholog_one2one
ENSPANG00000011648		
ENSPANG00000047942		
ENSPANG00000027232		
ENSPANG00000013824		
ENSPANG00000023608	ENSG00000134258	ortholog_one2one
ENSPANG00000050466		
ENSPANG00000041434		
ENSPANG00000001337		
ENSPANG00000043764		
ENSPANG00000042827		
ENSPANG00000029768	ENSG00000184313	ortholog_one2one
ENSPANG00000026672		
ENSPANG00000042556		
ENSPANG00000000113		
ENSPANG00000013383		
ENSPANG00000016199	ENSG00000198756	ortholog_one2one
ENSPANG00000046340		
ENSPANG00000001451		
ENSPANG00000046862		
ENSPANG00000000464	ENSG00000116791	ortholog_one2one
ENSPANG00000044287		
ENSPANG00000050231		
ENSPANG00000002655		
ENSPANG00000026705		
ENSPANG00000042273		
ENSPANG00000048141		
ENSPANG00000047217		
ENSPANG00000014949		
ENSPANG00000016856		
ENSPANG00000006572		
ENSPANG00000037545		
ENSPANG00000012853	ENSG00000207721	ortholog_one2one
ENSPANG00000049343		
ENSPANG00000008747	ENSG00000157191	ortholog_one2one
ENSPANG00000050648		
ENSPANG00000039332		
ENSPANG00000002734		
ENSPANG00000037814		
ENSPANG00000006674		
ENSPANG00000041134		
ENSPANG00000048049	ENSG00000288460	ortholog_one2one
ENSPANG00000027293		
ENSPANG00000032372	ENSG00000283473	ortholog_one2one
ENSPANG00000046212		
ENSPANG00000002404		
ENSPANG00000042096		
ENSPANG00000042951		
ENSPANG00000037126		
ENSPANG00000001793		
ENSPANG00000020017	ENSG00000114857	ortholog_one2one
ENSPANG00000014222	ENSG00000265107	ortholog_one2one
ENSPANG00000041217		
ENSPANG00000048194		
ENSPANG00000047379		
ENSPANG00000046712	ENSG00000116857	ortholog_one2one
ENSPANG00000022549	ENSG00000198049	ortholog_one2one
ENSPANG00000047950		
ENSPANG00000015206	ENSG00000143036	ortholog_one2one
ENSPANG00000002863	ENSG00000284485	ortholog_one2one
ENSPANG00000018536	ENSG00000116667	ortholog_one2one
ENSPANG00000039093		
ENSPANG00000048611		
ENSPANG00000037288		
ENSPANG00000045972		
ENSPANG00000035463	ENSG00000127125	ortholog_one2one
ENSPANG00000045148		
ENSPANG00000017991	ENSG00000117748	ortholog_one2one
ENSPANG00000050565	ENSG00000242950	ortholog_one2many
ENSPANG00000043924		
ENSPANG00000040721		
ENSPANG00000048478		
ENSPANG00000045277		
ENSPANG00000038693		
ENSPANG00000012579		
ENSPANG00000005105		
ENSPANG00000049877		
ENSPANG00000050838		
ENSPANG00000031595		
ENSPANG00000016897	ENSG00000122484	ortholog_one2one
ENSPANG00000010930	ENSG00000163352	ortholog_one2one
ENSPANG00000036925		
ENSPANG00000044797		
ENSPANG00000043015		
ENSPANG00000047012		
ENSPANG00000020576		
ENSPANG00000000185	ENSG00000199135	ortholog_one2one
ENSPANG00000012231	ENSG00000162384	ortholog_one2one
ENSPANG00000038530		
ENSPANG00000034461		
ENSPANG00000015632		
ENSPANG00000009153	ENSG00000143536	ortholog_one2one
ENSPANG00000018969	ENSG00000069275	ortholog_one2one
ENSPANG00000033300		
ENSPANG00000017107	ENSG00000283876	ortholog_one2one
ENSPANG00000001501		
ENSPANG00000041794		
ENSPANG00000004567		
ENSPANG00000027234		
ENSPANG00000026831		
ENSPANG00000026902	ENSG00000202609	ortholog_one2one
ENSPANG00000003323		
ENSPANG00000015162		
ENSPANG00000026876		
ENSPANG00000038553		
ENSPANG00000001837		
ENSPANG00000006744		
ENSPANG00000044314		
ENSPANG00000047507		
ENSPANG00000009289		
ENSPANG00000049844		
ENSPANG00000045021		
ENSPANG00000006951		
ENSPANG00000010869	ENSG00000117305	ortholog_one2one
ENSPANG00000042813		
ENSPANG00000009078	ENSG00000169231	ortholog_one2many
ENSPANG00000017949	ENSG00000123838	ortholog_one2one
ENSPANG00000045770		
ENSPANG00000012771		
ENSPANG00000002860		
ENSPANG00000048114		
ENSPANG00000030480		
ENSPANG00000001107	ENSG00000116191	ortholog_one2one
ENSPANG00000042443		
ENSPANG00000018957	ENSG00000186207	ortholog_one2one
ENSPANG00000002099		
ENSPANG00000019462		
ENSPANG00000002358		
ENSPANG00000045356		
ENSPANG00000039471		
ENSPANG00000024009	ENSG00000134250	ortholog_one2one
ENSPANG00000001403		
ENSPANG00000039735		
ENSPANG00000029817		
ENSPANG00000012821		
ENSPANG00000031046		
ENSPANG00000014967		
ENSPANG00000011659	ENSG00000169509	ortholog_one2one
ENSPANG00000003717		
ENSPANG00000049300		
ENSPANG00000039440		
ENSPANG00000009947		
ENSPANG00000051307		
ENSPANG00000032981	ENSG00000198830	ortholog_one2many
ENSPANG00000000048		
ENSPANG00000026791		
ENSPANG00000048236		
ENSPANG00000039437	ENSG00000185966	ortholog_one2many
ENSPANG00000039437	ENSG00000163202	ortholog_one2many
ENSPANG00000013914	ENSG00000211575	ortholog_one2one
ENSPANG00000018529		
ENSPANG00000011801		
ENSPANG00000006026		
ENSPANG00000050576		
ENSPANG00000039870		
ENSPANG00000002031		
ENSPANG00000041003		
ENSPANG00000040508		
ENSPANG00000019827		
ENSPANG00000041574		
ENSPANG00000008776		
ENSPANG00000050415		
ENSPANG00000043481		
ENSPANG00000040351		
ENSPANG00000040651		
ENSPANG00000048355		
ENSPANG00000013236		
ENSPANG00000043674	ENSG00000244057	ortholog_one2one
ENSPANG00000047705		
ENSPANG00000044514		
ENSPANG00000039248		
ENSPANG00000043323		
ENSPANG00000005968	ENSG00000117448	ortholog_one2one
ENSPANG00000010626		
ENSPANG00000000424	ENSG00000143226	ortholog_one2many
ENSPANG00000000424	ENSG00000072694	ortholog_one2many
ENSPANG00000000424	ENSG00000244682	ortholog_one2many
ENSPANG00000046210		
ENSPANG00000037795		
ENSPANG00000038200	ENSG00000207729	ortholog_one2one
ENSPANG00000041431		
ENSPANG00000048883	ENSG00000187238	ortholog_one2one
ENSPANG00000041541		
ENSPANG00000012166		
ENSPANG00000049778		
ENSPANG00000042857		
ENSPANG00000029833		
ENSPANG00000048366		
ENSPANG00000045498		
ENSPANG00000026377		
ENSPANG00000018498		
ENSPANG00000038005		
ENSPANG00000037695	ENSG00000185962	ortholog_one2one
ENSPANG00000022213	ENSG00000162723	ortholog_one2one
ENSPANG00000039121		
ENSPANG00000048706		
ENSPANG00000013817		
ENSPANG00000013931		
ENSPANG00000048694		
ENSPANG00000041235		
ENSPANG00000043622		
ENSPANG00000002214		
ENSPANG00000049595		
ENSPANG00000044171		
ENSPANG00000051063		
ENSPANG00000039755	ENSG00000159455	ortholog_many2many
ENSPANG00000039755	ENSG00000187180	ortholog_many2many
ENSPANG00000039755	ENSG00000187223	ortholog_many2many
ENSPANG00000012895		
ENSPANG00000037273		
ENSPANG00000047696		
ENSPANG00000035219		
ENSPANG00000018163	ENSG00000058453	ortholog_one2one
ENSPANG00000007129	ENSG00000130768	ortholog_one2one
ENSPANG00000003823		
ENSPANG00000049921		
ENSPANG00000046758		
ENSPANG00000009794	ENSG00000162763	ortholog_one2one
ENSPANG00000038831		
ENSPANG00000040624	ENSG00000159455	ortholog_many2many
ENSPANG00000040624	ENSG00000187180	ortholog_many2many
ENSPANG00000040624	ENSG00000187223	ortholog_many2many
ENSPANG00000004862		
ENSPANG00000000628		
ENSPANG00000016510	ENSG00000273274	ortholog_one2one
ENSPANG00000046893		
ENSPANG00000050064		
ENSPANG00000011827	ENSG00000142789	ortholog_one2many
ENSPANG00000011827	ENSG00000219073	ortholog_one2many
ENSPANG00000041408		
ENSPANG00000037251		
ENSPANG00000043998		
ENSPANG00000047021		
ENSPANG00000019752	ENSG00000116171	ortholog_one2one
ENSPANG00000042496		
ENSPANG00000022642		
ENSPANG00000034968		
ENSPANG00000019830		
ENSPANG00000017526		
ENSPANG00000039422	ENSG00000159455	ortholog_many2many
ENSPANG00000039422	ENSG00000187180	ortholog_many2many
ENSPANG00000039422	ENSG00000187223	ortholog_many2many
ENSPANG00000045470		
ENSPANG00000034981		
ENSPANG00000049240		
ENSPANG00000048533		
ENSPANG00000041753		
ENSPANG00000048089		
ENSPANG00000039748		
ENSPANG00000026589		
ENSPANG00000003532		
ENSPANG00000044503		
ENSPANG00000033712	ENSG00000176261	ortholog_one2many
ENSPANG00000045292		
ENSPANG00000036954		
ENSPANG00000042833		
ENSPANG00000041902		
ENSPANG00000002281		
ENSPANG00000046865	ENSG00000187173	ortholog_one2one
ENSPANG00000033575		
ENSPANG00000000434		
ENSPANG00000044028		
ENSPANG00000039780		
ENSPANG00000044839		
ENSPANG00000012433	ENSG00000116748	ortholog_one2one
ENSPANG00000022215	ENSG00000137968	ortholog_one2one
ENSPANG00000004428		
ENSPANG00000037533		
ENSPANG00000041564		
ENSPANG00000047328		
ENSPANG00000032420		
ENSPANG00000031368		
ENSPANG00000041393		
ENSPANG00000048958		
ENSPANG00000025257		
ENSPANG00000040768	ENSG00000203786	ortholog_one2one
ENSPANG00000020527	ENSG00000163515	ortholog_one2one
ENSPANG00000039079		
ENSPANG00000004454		
ENSPANG00000045395		
ENSPANG00000044242		
ENSPANG00000012158		
ENSPANG00000027141		
ENSPANG00000033771		
ENSPANG00000039969		
ENSPANG00000038569		
ENSPANG00000001878		
ENSPANG00000011998		
ENSPANG00000043107		
ENSPANG00000031286		
ENSPANG00000038428		
ENSPANG00000048530	ENSG00000172155	ortholog_many2many
ENSPANG00000048530	ENSG00000186226	ortholog_many2many
ENSPANG00000008573		
ENSPANG00000050718		
ENSPANG00000040067		
ENSPANG00000051060		
ENSPANG00000039067		
ENSPANG00000045709		
ENSPANG00000046632		
ENSPANG00000037239		
ENSPANG00000049476		
ENSPANG00000043706		
ENSPANG00000044680		
ENSPANG00000011708	ENSG00000116521	ortholog_one2one
ENSPANG00000042029		
ENSPANG00000037619		
ENSPANG00000049895	ENSG00000172155	ortholog_many2many
ENSPANG00000049895	ENSG00000186226	ortholog_many2many
ENSPANG00000038226		
ENSPANG00000008576		
ENSPANG00000000191		
ENSPANG00000037566		
ENSPANG00000027392		
ENSPANG00000021809		
ENSPANG00000021912	ENSG00000171488	ortholog_one2one
ENSPANG00000033200	ENSG00000173207	ortholog_one2one
ENSPANG00000011077	ENSG00000188729	ortholog_one2one
ENSPANG00000044301		
ENSPANG00000007565	ENSG00000065243	ortholog_one2one
ENSPANG00000013894		
ENSPANG00000003424		
ENSPANG00000042023		
ENSPANG00000039106		
ENSPANG00000032809		
ENSPANG00000050550		
ENSPANG00000047470	ENSG00000197084	ortholog_one2one
ENSPANG00000050403		
ENSPANG00000039897		
ENSPANG00000019110		
ENSPANG00000047963		
ENSPANG00000007916	ENSG00000158156	ortholog_one2one
ENSPANG00000041551		
ENSPANG00000015446		
ENSPANG00000014606		
ENSPANG00000010593		
ENSPANG00000047115		
ENSPANG00000032036		
ENSPANG00000042631		
ENSPANG00000032368	ENSG00000070831	ortholog_one2one
ENSPANG00000050227		
ENSPANG00000042416		
ENSPANG00000014719		
ENSPANG00000035104	ENSG00000198835	ortholog_one2one
ENSPANG00000039432		
ENSPANG00000044444		
ENSPANG00000001824	ENSG00000207523	ortholog_one2one
ENSPANG00000045693		
ENSPANG00000040686		
ENSPANG00000034758		
ENSPANG00000039623		
ENSPANG00000042637		
ENSPANG00000026059		
ENSPANG00000045318	ENSG00000143333	ortholog_one2one
ENSPANG00000009454		
ENSPANG00000042528		
ENSPANG00000051178		
ENSPANG00000046850		
ENSPANG00000015396		
ENSPANG00000042504		
ENSPANG00000006565		
ENSPANG00000005142		
ENSPANG00000043761	ENSG00000172155	ortholog_many2many
ENSPANG00000043761	ENSG00000186226	ortholog_many2many
ENSPANG00000037761		
ENSPANG00000023528	ENSG00000198799	ortholog_one2one
ENSPANG00000003790		
ENSPANG00000039138		
ENSPANG00000043570		
ENSPANG00000038520		
ENSPANG00000021349	ENSG00000276600	ortholog_one2one
ENSPANG00000050167		
ENSPANG00000049064		
ENSPANG00000000069		
ENSPANG00000048453		
ENSPANG00000048960		
ENSPANG00000046995		
ENSPANG00000018053		
ENSPANG00000044742		
ENSPANG00000021391		
ENSPANG00000043781		
ENSPANG00000048657		
ENSPANG00000041220		
ENSPANG00000004167		
ENSPANG00000041764		
ENSPANG00000043033		
ENSPANG00000046309		
ENSPANG00000044030		
ENSPANG00000014578		
ENSPANG00000013214		
ENSPANG00000043895		
ENSPANG00000037980		
ENSPANG00000049057		
ENSPANG00000043150		
ENSPANG00000005356	ENSG00000238862	ortholog_one2one
ENSPANG00000009969	ENSG00000203859	ortholog_one2one
ENSPANG00000050393		
ENSPANG00000040833		
ENSPANG00000040011		
ENSPANG00000001955		
ENSPANG00000046021		
ENSPANG00000011143	ENSG00000131386	ortholog_one2one
ENSPANG00000001098		
ENSPANG00000036991		
ENSPANG00000041287		
ENSPANG00000007478	ENSG00000179085	ortholog_one2one
ENSPANG00000046415		
ENSPANG00000026535	ENSG00000212493	ortholog_one2one
ENSPANG00000040254		
ENSPANG00000020222	ENSG00000117676	ortholog_one2one
ENSPANG00000007989	ENSG00000121577	ortholog_one2one
ENSPANG00000007297		
ENSPANG00000019831		
ENSPANG00000041576		
ENSPANG00000046753		
ENSPANG00000011927		
ENSPANG00000049217		
ENSPANG00000048176		
ENSPANG00000010353		
ENSPANG00000045665		
ENSPANG00000047489		
ENSPANG00000002815	ENSG00000206680	ortholog_one2one
ENSPANG00000012430		
ENSPANG00000048358		
ENSPANG00000029663		
ENSPANG00000045565		
ENSPANG00000017872		
ENSPANG00000043667		
ENSPANG00000014752		
ENSPANG00000044476		
ENSPANG00000007815	ENSG00000169714	ortholog_one2one
ENSPANG00000024992	ENSG00000176444	ortholog_one2one
ENSPANG00000039826		
ENSPANG00000026587	ENSG00000212452	ortholog_one2one
ENSPANG00000004055		
ENSPANG00000027430		
ENSPANG00000047122		
ENSPANG00000031337		
ENSPANG00000004829		
ENSPANG00000013397	ENSG00000162623	ortholog_one2one
ENSPANG00000027332		
ENSPANG00000015547		
ENSPANG00000048675		
ENSPANG00000040314		
ENSPANG00000044233		
ENSPANG00000011381	ENSG00000116874	ortholog_one2one
ENSPANG00000041612		
ENSPANG00000051310		
ENSPANG00000046218		
ENSPANG00000013902		
ENSPANG00000027406		
ENSPANG00000050730		
ENSPANG00000043732		
ENSPANG00000025575	ENSG00000144815	ortholog_one2one
ENSPANG00000013341		
ENSPANG00000046661	ENSG00000222345	ortholog_one2one
ENSPANG00000038184		
ENSPANG00000040468		
ENSPANG00000049965		
ENSPANG00000016715	ENSG00000143669	ortholog_one2one
ENSPANG00000034899		
ENSPANG00000034591		
ENSPANG00000010590		
ENSPANG00000037500		
ENSPANG00000043468		
ENSPANG00000042197		
ENSPANG00000001321	ENSG00000152332	ortholog_one2one
ENSPANG00000043196		
ENSPANG00000003983		
ENSPANG00000038953		
ENSPANG00000012033		
ENSPANG00000001599		
ENSPANG00000049768		
ENSPANG00000037189		
ENSPANG00000046698		
ENSPANG00000051047		
ENSPANG00000014716		
ENSPANG00000048400		
ENSPANG00000002959		
ENSPANG00000038606		
ENSPANG00000042488		
ENSPANG00000047106	ENSG00000169255	ortholog_one2one
ENSPANG00000008252	ENSG00000197273	ortholog_one2one
ENSPANG00000040987		
ENSPANG00000046731		
ENSPANG00000003656		
ENSPANG00000047299		
ENSPANG00000038931		
ENSPANG00000019244		
ENSPANG00000038659		
ENSPANG00000040090		
ENSPANG00000002791	ENSG00000078967	ortholog_one2one
ENSPANG00000037747		
ENSPANG00000033569		
ENSPANG00000050721		
ENSPANG00000005579	ENSG00000196549	ortholog_one2one
ENSPANG00000002922		
ENSPANG00000049326		
ENSPANG00000045440		
ENSPANG00000011920		
ENSPANG00000024684	ENSG00000143630	ortholog_one2one
ENSPANG00000046115		
ENSPANG00000044093		
ENSPANG00000038297		
ENSPANG00000048465		
ENSPANG00000039058		
ENSPANG00000003653		
ENSPANG00000035375		
ENSPANG00000042847		
ENSPANG00000047839		
ENSPANG00000024991	ENSG00000163382	ortholog_one2one
ENSPANG00000007333		
ENSPANG00000049886		
ENSPANG00000005076		
ENSPANG00000012278		
ENSPANG00000006771	ENSG00000144802	ortholog_one2one
ENSPANG00000014667	ENSG00000121634	ortholog_one2one
ENSPANG00000039769		
ENSPANG00000011949		
ENSPANG00000011959		
ENSPANG00000013328	ENSG00000138495	ortholog_one2one
ENSPANG00000009157		
ENSPANG00000050286		
ENSPANG00000045353		
ENSPANG00000044066		
ENSPANG00000019812	ENSG00000164120	ortholog_one2one
ENSPANG00000001721		
ENSPANG00000048577		
ENSPANG00000050537		
ENSPANG00000045556		
ENSPANG00000049787		
ENSPANG00000040248		
ENSPANG00000012850		
ENSPANG00000037999		
ENSPANG00000048555		
ENSPANG00000047798		
ENSPANG00000011199	ENSG00000173110	ortholog_one2one
ENSPANG00000030630	ENSG00000124614	ortholog_one2one
ENSPANG00000013211		
ENSPANG00000049392		
ENSPANG00000043915		
ENSPANG00000006868	ENSG00000179163	ortholog_one2one
ENSPANG00000015536		
ENSPANG00000014084	ENSG00000155366	ortholog_one2one
ENSPANG00000049956		
ENSPANG00000032351		
ENSPANG00000008532		
ENSPANG00000047275		
ENSPANG00000015510		
ENSPANG00000009871		
ENSPANG00000039391		
ENSPANG00000047935		
ENSPANG00000038264		
ENSPANG00000042267		
ENSPANG00000000572		
ENSPANG00000050511		
ENSPANG00000045086		
ENSPANG00000010232	ENSG00000196171	ortholog_one2one
ENSPANG00000023945		
ENSPANG00000044803		
ENSPANG00000010927		
ENSPANG00000037996		
ENSPANG00000025606		
ENSPANG00000044684		
ENSPANG00000016433	ENSG00000162676	ortholog_one2one
ENSPANG00000043678		
ENSPANG00000042626		
ENSPANG00000047468		
ENSPANG00000037993		
ENSPANG00000023912		
ENSPANG00000013831		
ENSPANG00000016719	ENSG00000187554	ortholog_one2one
ENSPANG00000015834	ENSG00000116833	ortholog_one2one
ENSPANG00000033262		
ENSPANG00000046820		
ENSPANG00000003403	ENSG00000105991	ortholog_one2one
ENSPANG00000027517		
ENSPANG00000027462	ENSG00000198987	ortholog_one2one
ENSPANG00000044353		
ENSPANG00000003295		
ENSPANG00000050922		
ENSPANG00000006149		
ENSPANG00000013402	ENSG00000174891	ortholog_one2one
ENSPANG00000051160		
ENSPANG00000030783		
ENSPANG00000006423		
ENSPANG00000049540		
ENSPANG00000001389		
ENSPANG00000042419		
ENSPANG00000038473		
ENSPANG00000003645		
ENSPANG00000039704		
ENSPANG00000040540		
ENSPANG00000044561		
ENSPANG00000009074		
ENSPANG00000004357		
ENSPANG00000047525		
ENSPANG00000050249		
ENSPANG00000022417	ENSG00000143627	ortholog_one2one
ENSPANG00000012162		
ENSPANG00000041926		
ENSPANG00000051367		
ENSPANG00000039745		
ENSPANG00000023363	ENSG00000174348	ortholog_one2one
ENSPANG00000004417	ENSG00000155367	ortholog_one2one
ENSPANG00000033904		
ENSPANG00000012234	ENSG00000284251	ortholog_one2one
ENSPANG00000037262		
ENSPANG00000009887	ENSG00000154309	ortholog_one2one
ENSPANG00000040804		
ENSPANG00000002709		
ENSPANG00000038889		
ENSPANG00000044822		
ENSPANG00000050605		
ENSPANG00000038405		
ENSPANG00000048121		
ENSPANG00000046796		
ENSPANG00000000671		
ENSPANG00000016533		
ENSPANG00000014463	ENSG00000117122	ortholog_one2one
ENSPANG00000051080		
ENSPANG00000030637		
ENSPANG00000037355		
ENSPANG00000006631		
ENSPANG00000038137		
ENSPANG00000018975	ENSG00000170044	ortholog_one2one
ENSPANG00000008352	ENSG00000183856	ortholog_one2one
ENSPANG00000009995		
ENSPANG00000003040		
ENSPANG00000048081		
ENSPANG00000014033	ENSG00000199032	ortholog_one2one
ENSPANG00000006831		
ENSPANG00000044995		
ENSPANG00000037539		
ENSPANG00000045741		
ENSPANG00000042025		
